region,postcode_sector,year,avg_price,volume
East Midlands,LE12 5,2023,238000,105
East Midlands,LE12 6,2023,232000,149
East Midlands,LE12 7,2023,159000,354
East Midlands,LE12 8,2023,255000,286
East Midlands,LE12 9,2023,154000,234
East Midlands,LE13 0,2023,155000,232
East Midlands,LE13 1,2023,144000,210
East Midlands,LE14 2,2023,285000,63
East Midlands,LE14 3,2023,184000,92
East Midlands,LE14 4,2023,267000,82
East Midlands,LE15 6,2023,179000,207
East Midlands,LE15 7,2023,272000,113
East Midlands,LE15 8,2023,314000,96
East Midlands,LE15 9,2023,238000,105
East Midlands,LE16 7,2023,238000,247
East Midlands,LE16 8,2023,303000,159
East Midlands,LE16 9,2023,218000,239
East Midlands,LE17 4,2023,230000,185
East Midlands,LE17 5,2023,298000,83
East Midlands,LE17 6,2023,270000,61
East Midlands,LE18 1,2023,139000,121
East Midlands,LE18 2,2023,127000,114
East Midlands,LE18 3,2023,168000,135
East Midlands,LE18 4,2023,116000,115
East Midlands,LE19 2,2023,166000,112
East Midlands,LE19 3,2023,172000,87
East Midlands,LE19 4,2023,191000,98
East Midlands,LE2 0,2023,103000,46
East Midlands,LE2 1,2023,142000,164
East Midlands,LE2 2,2023,261000,95
East Midlands,LE2 3,2023,196000,186
East Midlands,LE2 4,2023,199000,159
East Midlands,LE2 5,2023,181000,103
East Midlands,LE2 6,2023,123000,158
East Midlands,LE2 7,2023,112000,79
East Midlands,LE2 8,2023,145000,170
East Midlands,LE2 9,2023,132000,180
East Midlands,LE3 0,2023,111000,178
East Midlands,LE3 1,2023,108000,96
East Midlands,LE3 2,2023,133000,170
East Midlands,LE3 3,2023,149000,265
East Midlands,LE3 5,2023,106000,92
East Midlands,LE3 6,2023,124000,144
East Midlands,LE3 8,2023,188000,159
East Midlands,LE3 9,2023,123000,173
East Midlands,LE4 0,2023,124000,131
East Midlands,LE4 1,2023,112000,65
East Midlands,LE4 2,2023,114000,107
East Midlands,LE4 3,2023,209000,98
East Midlands,LE4 4,2023,160000,85
East Midlands,LE4 5,2023,129000,79
East Midlands,LE4 6,2023,108000,102
East Midlands,LE4 7,2023,116000,94
East Midlands,LE4 8,2023,121000,134
East Midlands,LE4 9,2023,122000,119
East Midlands,LE5 0,2023,126000,82
East Midlands,LE5 1,2023,160000,232
East Midlands,LE5 2,2023,143000,108
East Midlands,LE5 3,2023,104000,71
East Midlands,LE5 4,2023,118000,107
East Midlands,LE5 5,2023,152000,139
East Midlands,LE5 6,2023,198000,98
East Midlands,LE6 0,2023,234000,192
East Midlands,LE65 1,2023,252000,127
East Midlands,LE65 2,2023,210000,152
East Midlands,LE67 1,2023,156000,109
East Midlands,LE67 2,2023,203000,139
East Midlands,LE67 3,2023,112000,160
East Midlands,LE67 4,2023,150000,161
East Midlands,LE67 5,2023,130000,130
East Midlands,LE67 6,2023,165000,103
East Midlands,LE67 8,2023,230000,63
East Midlands,LE67 9,2023,166000,102
East Midlands,LE7 1,2023,124000,98
East Midlands,LE7 2,2023,184000,110
East Midlands,LE7 3,2023,212000,77
East Midlands,LE7 4,2023,287000,67
East Midlands,LE7 7,2023,237000,267
East Midlands,LE7 9,2023,269000,165
East Midlands,LE8 0,2023,241000,133
East Midlands,LE8 4,2023,172000,100
East Midlands,LE8 5,2023,195000,94
East Midlands,LE8 6,2023,159000,107
East Midlands,LE8 8,2023,192000,83
East Midlands,LE8 9,2023,265000,62
East Midlands,LE9 1,2023,160000,39
East Midlands,LE9 2,2023,239000,80
East Midlands,LE9 3,2023,150000,37
East Midlands,LE9 4,2023,178000,139
East Midlands,LE9 5,2023,205000,1
East Midlands,LE9 6,2023,172000,188
East Midlands,LE9 7,2023,159000,179
East Midlands,LE9 8,2023,130000,148
East Midlands,LE9 9,2023,211000,117
East Midlands,LN1 1,2023,149000,151
East Midlands,LN1 2,2023,181000,177
East Midlands,LN1 3,2023,131000,153
East Midlands,LN1 4,2023,418000,4
East Midlands,LN10 5,2023,145000,11
East Midlands,LN10 6,2023,184000,89
East Midlands,LN11 0,2023,141000,166
East Midlands,LN11 7,2023,141000,71
East Midlands,LN11 8,2023,142000,128
East Midlands,LN11 9,2023,138000,94
East Midlands,LN12 1,2023,121000,84
East Midlands,LN12 2,2023,117000,169
East Midlands,LN13 0,2023,153000,47
East Midlands,LN13 9,2023,151000,82
East Midlands,LN2 1,2023,213000,28
East Midlands,LN2 2,2023,195000,143
East Midlands,LN2 3,2023,183000,118
East Midlands,LN2 4,2023,145000,204
East Midlands,LN2 5,2023,97000,120
East Midlands,LN3 4,2023,164000,110
East Midlands,LN3 5,2023,164000,61
East Midlands,LN3 6,2023,115000,1
East Midlands,LN4 1,2023,177000,176
East Midlands,LN4 2,2023,150000,198
East Midlands,LN4 3,2023,156000,113
East Midlands,LN4 4,2023,137000,164
East Midlands,LN5 0,2023,217000,83
East Midlands,LN5 7,2023,94000,141
East Midlands,LN5 8,2023,105000,189
East Midlands,LN5 9,2023,165000,165
East Midlands,LN6 0,2023,112000,237
East Midlands,LN6 3,2023,110000,110
